<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2023-12-06T00:00:00.000000000,44073.82,44297.21,43335.28,43762.69,51431.10492,BTC/USDT
2023-12-07T00:00:00.000000000,43762.69,44047.33,42821.1,43273.14,47103.26845,BTC/USDT
2023-12-08T00:00:00.000000000,43273.15,44700.0,43081.1,44170.99,42900.37556,BTC/USDT
2023-12-09T00:00:00.000000000,44171.0,44358.02,43584.51,43713.6,24925.97008,BTC/USDT
2023-12-10T00:00:00.000000000,43713.59,44049.0,43563.0,43789.51,18956.61758,BTC/USDT
2023-12-11T00:00:00.000000000,43789.5,43804.5,40222.0,41253.4,76663.89804,BTC/USDT
2023-12-12T00:00:00.000000000,41253.41,42104.12,40680.0,41492.39,42722.69773,BTC/USDT
2023-12-13T00:00:00.000000000,41492.38,43475.2,40555.0,42869.03,45865.99773,BTC/USDT
2023-12-14T00:00:00.000000000,42869.03,43420.0,41400.0,43022.26,42047.05709,BTC/USDT
2023-12-15T00:00:00.000000000,43022.26,43080.81,41666.0,41940.3,33421.7932,BTC/USDT
2023-12-16T00:00:00.000000000,41940.29,42724.43,41605.0,42278.03,24118.85747,BTC/USDT
2023-12-17T00:00:00.000000000,42278.02,42424.07,41252.0,41374.65,27722.11452,BTC/USDT
2023-12-18T00:00:00.000000000,41374.64,42757.81,40542.93,42657.8,46734.0925,BTC/USDT
2023-12-19T00:00:00.000000000,42657.8,43497.0,41811.1,42275.99,40927.86444,BTC/USDT
2023-12-20T00:00:00.000000000,42275.99,44283.0,42206.0,43668.93,48710.2947,BTC/USDT
2023-12-21T00:00:00.000000000,43668.92,44242.35,43286.72,43861.8,34624.29384,BTC/USDT
2023-12-22T00:00:00.000000000,43861.79,44398.26,43412.54,43969.04,32783.19638,BTC/USDT
2023-12-23T00:00:00.000000000,43969.04,43988.68,43291.1,43702.16,16557.1293,BTC/USDT
2023-12-24T00:00:00.000000000,43702.15,43946.0,42500.0,42991.5,25144.33496,BTC/USDT
2023-12-25T00:00:00.000000000,42991.5,43802.32,42720.43,43576.13,27021.23992,BTC/USDT
2023-12-26T00:00:00.000000000,43576.12,43592.68,41637.6,42508.93,41010.04282,BTC/USDT
2023-12-27T00:00:00.000000000,42508.93,43677.0,42098.69,43428.85,36191.21136,BTC/USDT
2023-12-28T00:00:00.000000000,43428.86,43787.57,42241.79,42563.76,35150.52485,BTC/USDT
2023-12-29T00:00:00.000000000,42563.76,43111.0,41300.0,42066.95,42597.18912,BTC/USDT
2023-12-30T00:00:00.000000000,42066.94,42612.32,41520.3,42140.28,22906.57818,BTC/USDT
2023-12-31T00:00:00.000000000,42140.29,42899.0,41965.84,42283.58,23585.91603,BTC/USDT
2024-01-01T00:00:00.000000000,42283.58,44184.1,42180.77,44179.55,27174.29903,BTC/USDT
2024-01-02T00:00:00.000000000,44179.55,45879.63,44148.34,44946.91,65146.40661,BTC/USDT
2024-01-03T00:00:00.000000000,44946.91,45500.0,40750.0,42845.23,81194.55173,BTC/USDT
2024-01-04T00:00:00.000000000,42845.23,44729.58,42613.77,44151.1,48038.06334,BTC/USDT
2024-01-05T00:00:00.000000000,44151.1,44357.46,42450.0,44145.11,48075.25327,BTC/USDT
2024-01-06T00:00:00.000000000,44145.12,44214.42,43397.05,43968.32,17835.06144,BTC/USDT
2024-01-07T00:00:00.000000000,43968.32,44480.59,43572.09,43929.02,23023.8508,BTC/USDT
2024-01-08T00:00:00.000000000,43929.01,47248.99,43175.0,46951.04,72814.57589,BTC/USDT
2024-01-09T00:00:00.000000000,46951.04,47972.0,44748.67,46110.0,69927.66617,BTC/USDT
